Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:53 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=71, sum[0...71]=2556, running on CPU=3, start=1726016993.014375, stop=1726016993.347559
Sep 10 21:09:53 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=72, sum[0...72]=2628, running on CPU=3, start=1726016993.347707, stop=1726016993.733945
Sep 10 21:09:54 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=73, sum[0...73]=2701, running on CPU=3, start=1726016993.734090, stop=1726016994.076715
Sep 10 21:09:54 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=74, sum[0...74]=2775, running on CPU=3, start=1726016994.076872, stop=1726016994.475538
Sep 10 21:09:54 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=75, sum[0...75]=2850, running on CPU=3, start=1726016994.475696, stop=1726016994.826703
Sep 10 21:09:55 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=76, sum[0...76]=2926, running on CPU=3, start=1726016994.826860, stop=1726016995.182828
Sep 10 21:09:55 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=77, sum[0...77]=3003, running on CPU=3, start=1726016995.182976, stop=1726016995.591496
Sep 10 21:09:55 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=78, sum[0...78]=3081, running on CPU=3, start=1726016995.591646, stop=1726016995.956002
Sep 10 21:09:56 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=79, sum[0...79]=3160, running on CPU=3, start=1726016995.956150, stop=1726016996.325109
Sep 10 21:09:56 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=80, sum[0...80]=3240, running on CPU=3, start=1726016996.325260, stop=1726016996.751080
Sep 10 21:09:57 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=81, sum[0...81]=3321, running on CPU=3, start=1726016996.751233, stop=1726016997.129458
Sep 10 21:09:57 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=82, sum[0...82]=3403, running on CPU=3, start=1726016997.129609, stop=1726016997.559819
Sep 10 21:09:57 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=83, sum[0...83]=3486, running on CPU=3, start=1726016997.559964, stop=1726016997.946530
Sep 10 21:09:58 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=84, sum[0...84]=3570, running on CPU=3, start=1726016997.946677, stop=1726016998.338260
Sep 10 21:09:58 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=85, sum[0...85]=3655, running on CPU=3, start=1726016998.338413, stop=1726016998.786473
